TIMEKEY,T1,T5,T15
125100,125000,125000,123000
125200,125100,125000,123000
125300,125200,125000,123000
125400,125300,125000,123000
125500,125400,125500,123000
125600,125500,125500,123000
125700,125600,125500,123000
125800,125700,125500,123000
125900,125800,125500,123000
130000,125900,130000,124500
130100,130000,130000,124500
130200,130100,130000,124500
130300,130200,130000,124500
130400,130300,130000,124500
130500,130400,130500,124500
130600,130500,130500,124500
130700,130600,130500,124500
130800,130700,130500,124500
130900,130800,130500,124500
131000,130900,131000,124500
131100,131000,131000,124500
131200,131100,131000,124500
131300,131200,131000,124500
131400,131300,131000,124500
131500,131400,131500,130000
131600,131500,131500,130000
131700,131600,131500,130000
131800,131700,131500,130000
131900,131800,131500,130000
132000,131900,132000,130000
132100,132000,132000,130000
132200,132100,132000,130000
132300,132200,132000,130000
132400,132300,132000,130000
132500,132400,132500,130000
132600,132500,132500,130000
132700,132600,132500,130000
132800,132700,132500,130000
132900,132800,132500,130000
133000,132900,133000,131500
133100,133000,133000,131500
133200,133100,133000,131500
133300,133200,133000,131500
133400,133300,133000,131500
133500,133400,133500,131500
133600,133500,133500,131500
133700,133600,133500,131500
133800,133700,133500,131500
133900,133800,133500,131500
134000,133900,134000,131500
134100,134000,134000,131500
134200,134100,134000,131500
134300,134200,134000,131500
134400,134300,134000,131500
134500,134400,134500,133000
134600,134500,134500,133000
134700,134600,134500,133000
134800,134700,134500,133000
134900,134800,134500,133000
135000,134900,135000,133000
135100,135000,135000,133000
135200,135100,135000,133000
135300,135200,135000,133000
135400,135300,135000,133000
135500,135400,135500,133000
135600,135500,135500,133000
135700,135600,135500,133000
135800,135700,135500,133000
135900,135800,135500,133000
140000,135900,140000,134500
140100,140000,140000,134500
140200,140100,140000,134500
140300,140200,140000,134500
140400,140300,140000,134500
140500,140400,140500,134500
140600,140500,140500,134500
140700,140600,140500,134500
140800,140700,140500,134500
140900,140800,140500,134500
141000,140900,141000,134500
141100,141000,141000,134500
141200,141100,141000,134500
141300,141200,141000,134500
141400,141300,141000,134500
141500,141400,141500,140000
141600,141500,141500,140000
141700,141600,141500,140000
141800,141700,141500,140000
141900,141800,141500,140000
142000,141900,142000,140000
142100,142000,142000,140000
142200,142100,142000,140000
142300,142200,142000,140000
142400,142300,142000,140000
142500,142400,142500,140000
142600,142500,142500,140000
142700,142600,142500,140000
142800,142700,142500,140000
142900,142800,142500,140000
143000,142900,143000,141500
143100,143000,143000,141500
143200,143100,143000,141500
143300,143200,143000,141500
143400,143300,143000,141500
143500,143400,143500,141500
143600,143500,143500,141500
143700,143600,143500,141500
143800,143700,143500,141500
143900,143800,143500,141500
144000,143900,144000,141500
144100,144000,144000,141500
144200,144100,144000,141500
144300,144200,144000,141500
144400,144300,144000,141500
144500,144400,144500,143000
144600,144500,144500,143000
144700,144600,144500,143000
144800,144700,144500,143000
144900,144800,144500,143000
145000,144900,145000,143000
145100,145000,145000,143000
145200,145100,145000,143000
145300,145200,145000,143000
145400,145300,145000,143000
145500,145400,145500,143000
145600,145500,145500,143000
145700,145600,145500,143000
145800,145700,145500,143000
145900,145800,145500,143000
150000,145900,150000,144500
150100,150000,150000,144500
150200,150100,150000,144500
150300,150200,150000,144500
150400,150300,150000,144500
150500,150400,150500,144500
150600,150500,150500,144500
150700,150600,150500,144500
150800,150700,150500,144500
150900,150800,150500,144500
151000,150900,151000,144500
151100,151000,151000,144500
151200,151100,151000,144500
151300,151200,151000,144500
151400,151300,151000,144500
151500,151400,151500,150000
151600,151500,151500,150000
151700,151600,151500,150000
151800,151700,151500,150000
151900,151800,151500,150000
152000,151900,152000,150000
152100,152000,152000,150000
152200,152100,152000,150000
152300,152200,152000,150000
152400,152300,152000,150000
152500,152400,152500,150000
152600,152500,152500,150000
152700,152600,152500,150000
152800,152700,152500,150000
152900,152800,152500,150000
153000,152900,152500,151500
